time,hot_list,search_hot_list,overview_search_index,overview_content_index,overview_consume_index
20210828,1897,3541,2409,819,1773
20210829,2027,3648,2379,881,1746
20210830,1802,3316,2217,988,1542
20210831,1683,3182,2149,1399,1729
20210901,1972,3253,2276,1498,2191
20210902,2266,3577,2410,1145,2681
20210903,2588,3669,2958,1266,2929
20210904,2931,4976,3447,2095,3058
20210905,3091,4916,3077,2138,3190
20210906,2747,3923,2711,1415,3392
20210907,3056,4129,2803,1477,4902
20210908,4445,4554,3027,1517,5140
20210909,3462,4690,3669,1387,6559
20210910,6369,6240,5024,1361,9075
20210911,7198,8765,6068,1547,7793
20210912,6057,9462,6227,2092,7704
20210913,7137,8934,6074,2208,8142
20210914,6302,9064,6096,2297,6902
20210915,5944,9142,6568,2812,5583
20210916,5468,10449,7104,3476,3689
20210917,4676,11112,7630,4168,4501
20210918,6870,12546,9042,3850,6121
20210919,7544,15293,10622,3497,7711
20210920,9267,15114,9480,3998,8402
20210921,7149,11610,5139,2754,5078
20210922,2440,3417,2118,930,2523
20210923,1792,2285,1666,764,2139
20210924,1658,1991,1791,674,2251
20210925,2094,2797,1668,476,2179
20210926,1461,1647,1368,438,2827
20210927,2323,1530,1405,386,3532
20210928,2102,1469,1307,334,2814
20210929,1538,1298,1184,343,2247
20210930,1461,1275,1502,341,2283
20211001,1710,1958,1912,342,3132
20211002,1722,1911,1985,335,5124
20211003,3338,1958,1882,313,4228
20211004,1569,1824,1743,337,2038
20211005,1457,1683,1699,344,1862
20211006,1345,1622,2354,294,3559
20211007,3172,1714,2310,524,3309
20211008,973,1196,1695,649,1817
20211009,1540,1242,1782,432,2222
20211010,1632,1654,1288,495,1652
20211011,1322,1243,734,487,1178
20211012,1002,952,833,328,927
20211013,997,1525,905,328,725
20211014,843,1095,759,299,753
20211015,844,1020,902,251,907
20211016,1076,1517,1152,224,979
20211017,1136,1841,950,219,865
20211018,821,1066,707,231,776
20211019,867,1202,797,217,746
20211020,863,1351,761,173,824
20211021,825,948,668,285,780
20211022,830,1014,732,354,652
20211023,865,1279,743,254,1030
20211024,1128,1081,598,280,1281
20211025,1001,810,508,296,1024
20211026,800,792,512,221,822
20211027,717,784,493,203,971
20211028,919,753,533,200,1016
20211029,797,911,677,192,1011
20211030,1043,1207,810,204,1195
20211031,1054,1115,698,209,1027
20211101,764,821,550,210,777
20211102,739,895,573,197,645
20211103,645,908,554,167,548
20211104,599,851,523,156,535
20211105,594,817,728,176,583
20211106,774,1208,861,218,2228
20211107,2398,1208,685,230,2569
20211108,1002,791,580,210,1019
20211109,735,900,538,193,733
20211110,706,815,489,224,802
20211111,793,759,492,271,839
20211112,794,828,671,240,883
20211113,893,1050,820,196,1219
20211114,1145,1025,668,190,1137
20211115,743,841,528,194,911
20211116,873,858,532,209,941
20211117,794,863,541,232,856
20211118,815,872,777,261,856
20211119,1056,1640,1046,288,955
20211120,1078,1327,918,294,1136
20211121,1108,1188,696,266,944
20211122,697,792,636,236,750
20211123,760,776,611,225,769
20211124,700,775,530,211,715
20211125,687,757,602,208,881
20211126,887,856,704,226,1103
20211127,1005,1017,750,202,1002
20211128,817,1039,652,198,714
20211129,635,760,490,437,615
20211130,889,811,749,796,743
20211201,1319,1415,800,688,777
20211202,863,971,622,352,797
20211203,885,1023,728,242,1524
20211204,1575,1288,923,204,1763
20211205,1176,1321,830,239,1248
20211206,1007,995,606,245,951
20211207,761,907,563,208,761
20211208,739,859,575,205,988
20211209,994,938,592,358,1210
20211210,1129,910,761,404,1230
20211211,1141,1208,927,288,1311
20211212,1174,1174,741,274,1064
20211213,790,910,537,289,728
20211214,743,808,729,608,839
20211215,1407,1531,1041,571,949
20211216,930,1188,989,314,881
20211217,947,1083,913,318,956
20211218,1032,1265,935,228,939
20211219,864,1154,866,218,813
20211220,827,1033,746,240,808
20211221,850,1053,614,245,710
20211222,697,911,604,223,637
20211223,740,1007,804,209,651
20211224,736,1041,936,201,624
20211225,734,1105,898,193,620
20211226,747,1118,812,227,587
20211227,666,875,612,243,539
20211228,620,803,498,346,518
20211229,723,791,489,369,471
20211230,585,764,539,424,427
20211231,726,765,601,431,540
20220101,777,1005,604,280,718
20220102,825,1006,662,265,728
20220103,830,1199,607,388,647
20220104,812,822,642,491,694
20220105,1015,1315,655,416,822
20220106,878,864,526,287,757
20220107,692,885,570,218,687
20220108,783,1012,613,209,890
20220109,929,1027,545,209,879
20220110,704,786,476,200,648
20220111,620,797,507,191,578
20220112,656,887,546,264,579
20220113,733,928,597,239,838
20220114,941,1058,745,170,1139
20220115,1113,1423,760,344,1155
20220116,1146,1108,628,368,1200
20220117,1050,983,602,215,1358
20220118,1125,1023,583,245,1255
20220119,958,918,561,253,1011
20220120,867,950,558,206,909
20220121,806,909,568,189,920
20220122,871,982,573,211,957
20220123,870,926,549,214,1148
20220124,1041,903,505,213,1111
20220125,788,777,455,177,892
20220126,736,734,470,151,1017
20220127,902,827,489,168,858
20220128,613,800,571,145,752
20220129,855,1103,638,128,1054
20220130,965,1021,513,108,950
20220131,606,685,401,120,709
20220201,624,649,395,113,1159
20220202,1043,665,407,99,2357
20220203,1820,690,429,139,2087
20220204,835,737,448,165,1022
20220205,800,753,479,216,1977
20220206,1872,841,508,275,2702
20220207,1613,848,507,290,1874
20220208,1058,840,525,246,1563
20220209,1276,910,606,228,1847
20220210,1405,1108,630,352,1578
20220211,1155,988,568,420,1022
20220212,855,903,565,325,1299
20220213,1334,977,566,298,1283
20220214,813,905,533,339,749
20220215,808,870,488,338,737
20220216,755,754,477,375,730
20220217,827,831,466,443,820
20220218,902,718,489,368,878
20220219,833,910,549,276,1584
20220220,1576,920,496,299,1690
20220221,909,731,427,319,863
20220222,700,690,456,292,620
20220223,668,827,469,274,577
20220224,652,733,442,417,591
20220225,798,740,795,473,704
20220226,1174,1907,903,359,787
20220227,875,1097,578,277,956
20220228,936,824,486,387,1084
20220301,1021,791,475,401,997
20220302,852,788,498,241,1078
20220303,965,867,604,281,1154
20220304,1074,1142,785,395,1871
20220305,1977,1472,828,399,2356
20220306,1606,1286,734,422,1620
20220307,1170,1157,653,366,1105
20220308,954,1016,575,254,1251
20220309,1126,897,515,290,1494
20220310,1173,816,513,319,1440
20220311,1099,893,606,256,1358
20220312,1121,1125,641,211,1292
20220313,1023,1010,545,250,1031
20220314,803,805,510,262,839
20220315,808,892,541,369,845
20220316,947,908,583,344,880
20220317,860,1033,625,259,1547
20220318,1571,1047,702,282,1750
20220319,1163,1288,736,229,1553
20220320,1355,1163,665,252,1692
20220321,1254,1052,612,268,1406
20220322,1032,984,577,250,1035
20220323,830,936,562,309,932
20220324,973,934,586,285,1335
20220325,1233,1015,670,248,1685
20220326,1370,1215,748,236,1468
20220327,1082,1274,697,197,1050
20220328,862,1045,652,243,776
20220329,809,1125,688,298,689
20220330,866,1166,674,276,786
20220331,870,1078,658,234,1120
20220401,1142,1112,672,289,2135
20220402,1954,1125,708,394,2590
20220403,1738,1232,782,498,1672
20220404,1214,1371,866,487,1054
20220405,1193,1512,799,400,1062
20220406,1068,1150,701,426,1027
20220407,1086,1186,749,444,1026
20220408,1133,1309,868,382,1131
20220409,1248,1582,925,326,1194
20220410,1197,1500,854,349,1465
20220411,1471,1346,814,397,2301
20220412,2041,1364,808,348,2731
20220413,1846,1325,785,398,1854
20220414,1191,1290,834,505,1020
20220415,1168,1487,940,487,1195
20220416,1454,1642,938,423,1567
20220417,1474,1483,826,465,1485
20220418,1302,1267,747,539,1303
20220419,1287,1217,719,544,1198
20220420,1174,1176,704,637,937
20220421,1104,1169,730,635,867
20220422,1128,1261,808,520,1068
20220423,1268,1428,857,578,1082
20220424,1249,1424,821,744,1020
20220425,1336,1309,748,649,999
20220426,1060,1183,700,747,894
20220427,1281,1149,704,999,850
20220428,1272,1196,698,1005,866
20220429,1297,1128,756,1022,949
20220430,1430,1389,847,920,1050
20220501,1387,1432,863,665,956
20220502,1097,1442,837,507,763
20220503,1010,1344,785,540,772
20220504,1087,1268,745,681,1072
20220505,1411,1213,850,939,1480
20220506,1858,1618,958,1213,1738
20220507,2051,1571,8789,1053,1699
20220508,9490,27721,13502,885,1687
20220509,6584,17282,6454,1081,1805
20220510,2756,4228,3860,1196,1739
20220511,4039,8635,3992,1062,1940
20220512,2955,4667,2411,894,2089
20220513,2439,3366,2594,908,2201
20220514,3264,5277,2379,811,1989
20220515,1915,2649,1360,797,1494
20220516,1736,1881,1184,900,1860
20220517,2208,2061,1146,1010,2266
20220518,2214,1756,1002,1015,2081
20220519,1884,1583,948,1445,1841
20220520,2350,1576,1477,1274,1773
20220521,2174,3345,1881,455,1929
20220522,2091,2922,1662,332,2030
20220523,1933,2616,1723,445,2313
20220524,2548,3126,1713,571,2255
20220525,1991,2582,1671,811,1832
20220526,2323,2985,2892,1016,2722
20220527,4307,6651,10233,805,3451
20220528,10182,27456,10737,716,3132
20220529,4403,8333,3682,822,3065
20220530,3166,3940,1182,957,2922
20220531,2944,3496,1131,1288,2285
20220601,2809,3768,2999,2054,2216
20220602,4460,6226,3542,1694,2963
20220603,3739,5579,2702,565,2723
20220604,2251,3425,1879,355,2369
20220605,2352,2834,1370,380,2283
20220606,1681,1729,1015,388,1714
20220607,1436,1651,1024,392,1520
20220608,1500,1757,990,441,1451
20220609,1382,1537,998,436,1276
20220610,1328,1786,1294,395,1252
20220611,1613,2526,2253,381,1292
20220612,2313,4981,1897,388,1141
20220613,1113,1339,856,404,1013
20220614,1160,1512,857,433,998
20220615,1128,1342,841,444,1160
20220616,1317,1458,907,411,1338
20220617,1339,1561,1111,332,1293
20220618,1397,2138,1230,233,1282
20220619,1348,1959,1108,222,1124
20220620,1106,1732,1193,254,913
20220621,1254,2242,1123,293,979
20220622,1141,1498,865,393,1167
20220623,1284,1383,809,480,1256
20220624,1261,1311,823,488,1265
20220625,1315,1429,912,461,1356
20220626,1414,1610,922,490,1354
20220627,1352,1462,874,490,1320
20220628,1332,1449,840,451,1400
20220629,1359,1348,822,473,1365
20220630,1301,1389,848,483,1302
20220701,1332,1436,877,494,1419
20220702,1458,1485,922,482,1494
20220703,1440,1585,857,458,1291
20220704,1166,1267,823,472,1370
20220705,1499,1471,907,472,1518
20220706,1398,1547,911,488,1418
20220707,1419,1484,889,512,1319
20220708,1301,1474,902,530,1449
20220709,1580,1530,909,531,1655
20220710,1515,1499,885,523,1712
20220711,1605,1448,924,592,1815
20220712,1726,1627,968,632,1841
20220713,1715,1594,1003,705,1733
20220714,1726,1746,1002,735,1598
20220715,1609,1593,1017,672,1690
20220716,1770,1795,1122,682,2302
20220717,2336,1943,1123,695,2687
20220718,2169,1800,1142,752,2334
20220719,2059,2006,1133,810,1984
20220720,1868,1768,1059,815,1906
20220721,1912,1757,1078,848,2193
20220722,2207,1832,1120,884,2325
20220723,2122,1899,1149,898,2775
20220724,2700,1929,1151,960,3091
20220725,2502,1904,1178,1138,3168
20220726,2982,2018,1282,1281,3129
20220727,2710,2252,1340,1315,2797
20220728,2742,2211,1408,1306,2711
20220729,2683,2478,1455,1248,2998
20220730,3018,2370,1410,1232,3382
20220731,3006,2327,1392,1372,3047
20220801,2805,2310,1421,1492,3236
20220802,3344,2426,1576,1478,7250
20220803,6960,2826,1561,1405,8414
20220804,4420,2375,1513,1404,5342
20220805,3839,2665,1666,1485,5004
20220806,4316,2886,1776,1517,5558
20220807,4535,3032,1922,1529,5618
20220808,4534,3371,2086,1674,5472
20220809,4698,3577,2393,1810,5979
20220810,5484,4395,2703,1913,6376
20220811,5508,4611,3628,1826,6947
20220812,6893,7480,4392,1627,7353
20220813,6479,7159,4045,1633,6417
20220814,5616,6323,3812,1745,6457
20220815,6398,6382,3723,1786,6626
20220816,5737,6026,4205,1816,7091
20220817,7375,7989,4453,2019,7546
20220818,6643,6852,3959,2080,6527
20220819,5923,6343,5360,2047,7186
20220820,8670,11523,7189,2156,9884
20220821,10559,12437,6752,2313,11692
20220822,10198,10065,6302,2440,13056
20220823,11600,10939,6898,2497,14642
20220824,12437,12051,8267,2738,18411
20220825,16979,15502,9136,3122,19134
20220826,14413,14947,11576,3092,16575
20220827,16830,23635,31115,3066,22198
20220828,39549,80079,32037,3318,26952
20220829,22758,26709,15734,3404,21306
20220830,17686,25734,20651,3278,21392
20220831,27635,43097,22251,3054,24700
20220901,22370,31069,25554,3112,24007
20220902,30303,54108,27993,3522,27691
20220903,28903,39198,25460,3900,30186
20220904,30643,45664,26480,3893,28462
20220905,28192,42598,27149,3755,27088
20220906,29800,47894,27550,3708,24955
20220907,26413,43935,25181,3759,22602
20220908,25129,39998,24343,4601,21943
20220909,25758,41142,23993,7328,24669
20220910,30232,38831,16789,6068,23514
20220911,16139,17129,8271,2276,14541
20220912,8949,10440,4871,1352,7666
20220913,4940,5795,3194,890,4859
20220914,4003,4847,2610,762,4007
20220915,3376,3847,2214,708,4610
20220916,4156,3528,2226,676,4880
20220917,3626,3890,2187,638,3854
20220918,3053,3399,2951,559,2898
20220919,3355,6434,2843,493,2423
20220920,2404,3037,1654,482,2251
20220921,1983,2472,1379,459,2041
20220922,1896,2122,1281,449,2025
20220923,1859,2144,1349,456,1903
20220924,1849,2347,1488,456,1856
20220925,1951,2608,1331,414,1741
20220926,1535,1825,1010,410,1560
20220927,1445,1538,949,460,1555
20220928,1519,1621,914,494,1548
20220929,1437,1422,892,514,1478
20220930,1447,1547,1054,505,1835
20221001,1947,1961,1242,483,2801
20221002,2579,2176,1235,489,3064
20221003,2209,1939,1123,459,2290
20221004,1663,1803,1237,413,1831
20221005,1818,2320,1196,412,1844
20221006,1634,1665,947,426,1789
20221007,1528,1488,822,408,1601
20221008,1303,1247,837,367,1462
20221009,1363,1540,865,353,1419
20221010,1274,1342,771,366,1357
20221011,1220,1226,764,372,1266
20221012,1182,1320,813,359,1183
20221013,1173,1388,820,349,1087
20221014,1083,1342,931,356,1452
20221015,1656,1759,1134,395,1676
20221016,1549,2017,1085,394,1414
20221017,1344,1595,908,334,1424
20221018,1322,1430,871,314,1460
20221019,1323,1471,848,308,1432
20221020,1265,1352,800,319,1444
20221021,1298,1312,882,341,1622
20221022,1547,1624,936,333,1932
20221023,1654,1493,835,323,1925
20221024,1429,1287,751,338,1641
20221025,1301,1213,728,328,1542
20221026,1297,1212,715,328,1593
20221027,1339,1168,739,338,1642
20221028,1380,1292,833,328,1587
20221029,1368,1481,938,328,1484
20221030,1382,1643,906,326,1365
20221031,1215,1376,818,312,1413
20221101,1328,1347,795,303,1371
20221102,1141,1297,743,307,1114
20221103,1023,1175,758,304,1137
20221104,1176,1349,797,319,1671
20221105,1611,1305,793,329,1818
20221106,1329,1336,742,329,1416
20221107,1158,1134,773,354,1154
20221108,1123,1438,894,362,1006
20221109,1139,1538,843,371,1048
20221110,1123,1267,760,408,1142
20221111,1187,1261,875,420,1251
20221112,1359,1652,950,422,1388
20221113,1401,1511,812,511,1348
20221114,1270,1192,697,539,1179
20221115,1145,1128,676,430,987
20221116,948,1121,686,378,863
20221117,979,1163,724,381,1022
20221118,1148,1249,804,400,1141
20221119,1197,1429,885,414,1334
20221120,1436,1519,813,394,1476
20221121,1247,1188,1145,376,1353
20221122,1627,2625,1325,368,1132
20221123,1198,1789,1012,359,933
20221124,1106,1582,924,352,863
20221125,1033,1495,941,338,836
20221126,1082,1638,1077,313,1045
20221127,1353,1947,1039,360,1112
20221128,1158,1513,913,363,1205
20221129,1323,1529,868,325,1380
20221130,1250,1362,841,326,1471
20221201,1388,1437,829,346,1496
20221202,1283,1322,807,423,1351
20221203,1298,1364,880,421,1293
20221204,1296,1565,841,382,1249
20221205,1176,1235,786,388,1188
20221206,1186,1382,810,486,1035
20221207,1145,1315,756,510,905
20221208,1026,1202,685,431,891
20221209,981,1080,879,408,941
20221210,1247,1850,951,417,1007
20221211,1128,1317,692,410,907
20221212,881,985,593,359,740
20221213,811,988,605,379,896
20221214,1069,1024,647,409,996
20221215,983,1129,695,370,1159
20221216,1241,1184,704,352,1402
20221217,1217,1159,702,326,1330
20221218,1141,1177,753,283,1117
20221219,1012,1330,728,270,1018
20221220,1004,1094,758,299,1255
20221221,1308,1428,816,319,1335
20221222,1162,1290,775,283,1216
20221223,1112,1291,798,269,1179
20221224,1134,1365,801,283,1153
20221225,1103,1303,774,279,1088
20221226,1038,1275,793,314,1479
20221227,1548,1366,810,315,1620
20221228,1197,1332,841,288,1347
20221229,1279,1469,846,308,1271
20221230,1146,1350,773,380,2079
20221231,2086,1224,744,382,2665
20230101,1705,1252,758,294,1732
20230102,1079,1273,1737,263,1180
20230103,2101,4514,2613,277,1226
20230104,2015,4192,2528,290,1175
20230105,1978,4233,2451,306,1110
20230106,1889,3935,2379,353,1255
20230107,2098,3991,2514,373,1659
20230108,2448,4386,2610,367,1414
20230109,1943,4312,2712,373,1013
20230110,2155,4725,3041,436,1220
20230111,2542,5409,2927,482,1210
20230112,2077,4346,2667,421,1100
20230113,2111,4542,2721,357,1218
20230114,2185,4525,2629,363,1145
20230115,1952,4236,2484,383,1024
20230116,1939,4042,2456,403,1027
20230117,1947,4141,2451,381,861
20230118,1746,4026,2528,416,838
20230119,2036,4400,2520,393,887
20230120,1764,3997,2186,279,679
20230121,1380,3285,2111,242,555
20230122,1528,3749,2274,221,559
20230123,1526,3830,2225,217,563
20230124,1479,3586,2715,244,587
20230125,2067,5463,2817,278,651
20230126,1679,3924,2554,269,706
20230127,1850,4586,2609,284,653
20230128,1696,4110,2728,348,649
20230129,2029,4983,3465,436,747
20230130,2619,6566,3355,476,960
20230131,2172,4614,2831,444,1106
20230201,2209,4819,3121,461,1257
20230202,2630,5582,3239,504,1331
20230203,2444,5212,3133,472,1389
20230204,2550,5228,2931,462,1326
20230205,2169,4539,2396,500,1171
20230206,1898,3446,2053,521,1372
20230207,2048,3396,2216,508,1721
20230208,2397,3988,2460,499,1904
20230209,2466,4207,2449,490,1991
20230210,2464,3952,2493,538,1917
20230211,2484,4355,2566,568,1653
20230212,2303,4194,2397,494,1404
20230213,1992,3792,2375,482,1192
20230214,2057,4122,2740,473,1904
20230215,3060,5007,2872,455,2605
20230216,2872,4561,2801,511,2214
20230217,2654,4772,2936,539,1866
20230218,2687,5012,3107,547,2603
20230219,3570,5341,2980,534,2827
20230220,2771,4587,2678,493,2503
20230221,2903,4334,2715,532,2380
20230222,2724,4712,3008,643,4465
20230223,2530,4769,3069,707,6501
20230224,2382,4400,3002,705,6170
20230225,2429,4554,2977,690,6332
20230226,2331,4294,2813,689,6088
20230227,2075,3986,2865,710,6681
20230228,2643,4479,2798,677,6788
20230301,2060,3830,2591,646,5887
20230302,2114,3850,2702,710,6971
20230303,2881,4171,3053,731,7949
20230304,2851,4996,3702,682,7738
20230305,3103,6294,3672,646,8110
20230306,2780,4855,3161,653,7610
20230307,2445,4617,3112,699,8342
20230308,3492,4695,3315,720,8985
20230309,2979,5281,3579,727,7460
20230310,2792,5548,4056,721,7172
20230311,3240,6875,4409,700,6776
20230312,2994,6731,4084,772,5623
20230313,2582,5783,3717,750,5134
20230314,2442,5502,3381,649,6521
20230315,2608,4685,3228,628,7657
20230316,2737,5004,3684,590,7695
20230317,3262,6218,4713,587,8457
20230318,4175,8390,5028,614,8916
20230319,3959,7246,4249,700,8740
20230320,3384,5821,4055,745,8262
20230321,3453,6624,5177,751,8019
20230322,4404,9530,6019,803,8413
20230323,4418,9356,5271,805,8522
20230324,3623,7078,6620,760,9299
20230325,6208,13796,8708,720,11190
20230326,6536,13916,8519,805,11451
20230327,6138,13130,7791,891,10057
20230328,5223,11506,6427,852,9041
20230329,4186,8670,5796,823,8717
20230330,4329,9479,6079,849,8200
20230331,4195,9625,5750,839,8305
20230401,4062,8408,5658,724,8694
20230402,4246,9314,5758,597,5555
20230403,4371,9291,11832,518,2360
20230404,10339,30144,15071,422,2241
20230405,7395,20089,9081,385,2024
20230406,4095,10178,5331,409,1792
20230407,3437,7590,7704,384,1852
20230408,6503,18088,12106,337,2651
20230409,8591,22263,10818,367,2920
20230410,5514,13796,7644,472,2039
20230411,4641,11682,6252,476,2642
20230412,4729,9155,5469,536,2856
20230413,4132,9073,6175,512,2560
20230414,5115,11507,7300,368,2873
20230415,5426,12823,7391,341,2583
20230416,4889,11812,6315,329,2299
20230417,4054,9234,5321,335,2178
20230418,3780,8498,5013,361,2067
20230419,3661,8208,5024,446,1836
20230420,3645,8534,5078,612,1699
20230421,3744,8388,5821,707,1852
20230422,4636,11012,6312,682,1917
20230423,4275,10026,6314,1063,2091
20230424,5193,11017,5960,1298,1953
20230425,4018,8844,4923,988,1508
20230426,3401,7562,4410,925,1503
20230427,3437,7136,4247,934,1749
20230428,3493,7018,4575,825,2042
20230429,3949,8230,4840,760,1975
20230430,3626,7901,4559,712,1803
20230501,3448,7293,4289,640,1826
20230502,3307,7003,4255,653,1865
20230503,3466,7178,4637,757,3525
20230504,5453,8274,5158,828,3531
20230505,4064,8915,5535,857,1709
20230506,4037,9532,6590,771,1448
20230507,4772,12433,6450,843,1335
20230508,3856,9064,5280,989,1353
20230509,3766,8531,4898,974,1467
20230510,3573,7792,4617,1005,1631
20230511,3680,7594,4745,987,1815
20230512,3867,8218,5374,863,2043
20230513,4413,9691,5914,887,2107
20230514,4495,10019,5486,967,1874
20230515,3832,8265,4975,984,1841
20230516,3968,8316,5240,930,1876
20230517,4078,9148,5060,843,1929
20230518,3754,7716,4459,840,1984
20230519,3529,7144,4449,829,2061
20230520,3810,7682,5007,833,2136
20230521,4166,9005,4964,889,1872
20230522,3559,7537,4629,1047,1936
20230523,4053,7887,5413,1501,2624
20230524,5485,10153,5741,1774,2967
20230525,4997,8983,5393,1642,2638
20230526,4676,8993,5504,1451,2709
20230527,4988,9353,5694,1182,3028
20230528,4916,9625,5154,1364,3053
20230529,4655,7551,4991,1480,2857
20230530,4673,9081,5171,1293,2928
20230531,4719,8152,4571,1108,3688
20230601,4648,7082,4188,996,3830
20230602,4366,6876,4724,1226,3570
20230603,5154,8869,6216,1463,3808
20230604,6333,11847,6839,1556,3703
20230605,5765,10946,6289,1670,3083
20230606,5277,10015,6678,2221,2888
20230607,6510,12243,6839,2770,3085
20230608,6184,10552,6929,2630,5183
20230609,8558,12542,7949,2256,7001
20230610,8648,13953,7651,1966,5895
20230611,6864,11547,6922,1874,4493
20230612,6425,11523,6800,2111,4096
20230613,6582,11142,6667,2192,4311
20230614,6588,11078,6926,2259,4567
20230615,7164,12006,7086,2745,4717
20230616,7384,11611,7504,2694,4748
20230617,7562,13399,8105,2485,5514
20230618,8542,13616,7631,2644,5361
20230619,7094,11818,7147,2569,3701
20230620,6323,12002,6854,2036,2477
20230621,5044,10843,8029,1402,2051
20230622,6438,15918,8268,1160,2129
20230623,5119,11637,6116,1222,2305
20230624,4524,8744,4743,1293,2077
20230625,3589,7061,4432,1307,2042
20230626,4192,7710,4566,1375,2707
20230627,4456,7508,4360,1131,2577
20230628,3612,7021,4178,968,2239
20230629,3773,6903,4150,1004,2187
20230630,3568,6928,4161,919,2133
20230701,3645,6937,4737,989,2531
20230702,4612,8850,4815,1175,2665
20230703,4043,7197,4479,1171,2509
20230704,4116,7728,4533,1190,2241
20230705,3848,7379,4449,1222,2155
20230706,3978,7447,4345,1122,2349
20230707,3838,7032,4266,1104,2742
20230708,4274,7186,4374,1081,2920
20230709,4101,7392,4426,1062,2476
20230710,3863,7358,4412,1068,1901
20230711,3518,7344,4648,1235,1967
20230712,4332,8145,4820,1575,2139
20230713,4202,7919,4934,1557,1852
20230714,4141,8525,4736,1362,1767
20230715,3724,7257,4499,1384,2169
20230716,4328,7734,4822,1714,2416
20230717,4624,8336,5056,2030,2310
20230718,4772,8514,5186,1975,2306
20230719,4695,8768,5266,2063,2254
20230720,4888,8781,5217,2161,2313
20230721,4803,8604,5117,2008,2423
20230722,4745,8450,5995,2117,2670
20230723,6037,11531,6974,2437,3145
20230724,6519,11711,6592,2392,3503
20230725,5968,10260,6828,2326,3721
20230726,6907,12499,8173,2328,3536
20230727,7130,14743,7659,2090,3073
20230728,5692,10785,6377,1980,2936
20230729,5601,10469,6106,1783,2784
20230730,5072,9881,5945,1754,2502
20230731,5129,9931,6154,2080,2389
20230801,5494,10578,6220,2160,2456
20230802,5342,10153,6351,2522,2558
20230803,6089,11014,6537,3198,2424
20230804,6070,10771,6546,3404,2288
20230805,6168,11046,6899,3362,2517
20230806,6610,11949,7566,3628,2726
20230807,7310,13268,7993,3954,2906
20230808,7543,13371,8337,4088,3251
20230809,8133,14414,9354,3988,3907
20230810,9116,16763,10041,3874,4191
20230811,8990,16704,10203,3652,3976
20230812,8841,17303,10573,3182,3762
20230813,8676,17939,10673,3215,3463
20230814,8675,17635,10804,3626,3495
20230815,9250,18375,11276,3716,3400
20230816,9142,19210,11375,3913,3229
20230817,9375,18706,11395,4192,3199
20230818,9411,19275,11514,4306,3149
20230819,9558,19101,11751,4181,3099
20230820,9473,20066,12133,4994,3088
20230821,10742,20376,12086,6534,3129
20230822,11007,19909,13809,6140,3411
20230823,12353,26118,16717,5661,3882
20230824,13907,29601,17260,6530,4009
20230825,13892,27927,19092,6288,3982
20230826,15470,35708,26502,5418,4151
20230827,20601,52629,34392,5612,4322
